page number,1st recipe on page,1st google search result,instructions
,,,"Heat over medium and cook the shrimp shells until pink and vegetables start to soften, about 10 to 15 minutes."
,,,"Next add in the parsley, bay, coriander, peppercorns and water."
,,,"Cover the pot, leaving the lid askew and bring to a boil."
,,,Reduce heat and simmer for 15 minutes.
,,,Place a mesh strainer into a large bowl or 8-cup liquid measuring cup.
,,,Use a ladle to remove most of the vegetables and shells to the strainer before carefully pouring the remaining stock through.
,,,Discard shrimp shells and vegetables.
,,,Allow the shrimp stock to cool before storing.
,,,This can be kept in the fridge for a few weeks or frozen up to 3 months.
,,,"Simply Scratch Tip: To freeze, pre-measure the stock into freezer-safe containers or ice cube trays for easy portioning later on when cooking."
,,,"2 cup measures are great for soups and risotto, while the ice cube trays are best for sauces."
121,chicken broth,https://www.tasteofhome.com/recipes/homemade-chicken-broth/,Place all ingredients in a soup kettle or Dutch oven.
,,,Slowly bring to a boil; reduce heat until mixture is just at a simmer.
,,,"Simmer, uncovered, for 3-4 hours, skimming foam as necessary."
,,,Set chicken aside until cool enough to handle.
,,,Remove meat from bones.
,,,Discard bones; save meat for another use.
,,,"Strain broth, discarding vegetables and seasonings."
,,,Refrigerate for 8 hours or overnight.
,,,Skim fat from surface.
160,endive and walnut salad,https://www.epicurious.com/recipes/food/views/belgian-endive-and-walnut-salad-em-insalata-belga-e-noci-em-51206030,"In a small bowl, whisk together the vinegar, mustard, and salt, and season with black pepper."
,,,"Whisk in the olive oil in a steady stream to make a smooth, emulsified dressing."
,,,"Toss the endive, apples, and walnuts together in a large serving bowl."
,,,"Drizzle with the dressing, toss well, and serve immediately."
190,steak fajitas,https://addapinch.com/steak-fajitas-recipe/,Place the steak into a sealable bag.
,,,Place the peppers and onion into a separate sealable bag.
,,,"Add the olive oil, lime juice, chili powder, ground cumin, cayenne pepper, salt, black pepper, and garlic to a jar with a screw top or tight fitting lid."
,,,Shake until well combined.
,,,"Pour 1/3 of the marinade over steak, 1/3 of marinade over vegetables and reserve the remaining marinade in the jar for using when cooking the steak fajitas."
,,,Seal the bags tightly and refrigerate for one hour to overnight.
,,,"When ready to cook, heat a large skillet over medium-high heat."
,,,"Pour the vegetables into the skillet and cook until just tender crisp, about 5 minutes."
,,,Remove the vegetables from the skillet to a plate and add steak strips to the same skillet.
,,,"When the steak is cooked throughout (about 7-10 minutes), add vegetables back to the skillet along with the reserved marinade."
,,,Serve with warm tortillas and desired optional garnishes.
195,creamed eggs au gratin,https://www.tasteofhome.com/recipes/creamy-eggs-mushrooms-au-gratin/,"In a large broiler-safe skillet, heat butter over medium-high heat."
,,,"Add mushrooms; cook and stir until browned, 4-6 minutes."
,,,Add green onion; cook 1 minute longer.
,,,Remove from pan with a slotted spoon.
,,,Wipe skillet clean.
,,,"For sauce, in a small saucepan, melt butter over medium heat."
,,,"Stir in flour, salt and pepper until smooth; gradually whisk in milk and cream."
,,,"Bring to a boil, stirring constantly; cook and stir until thickened, 2-4 minutes."
,,,Remove from heat; stir in cheese.
,,,Preheat broiler.
,,,"For eggs, in a large bowl, whisk eggs, salt and pepper until blended."
,,,"In same skillet, heat butter over medium heat."
,,,Pour in egg mixture; cook and stir just until eggs are thickened and no liquid egg remains.
,,,Remove from heat.
,,,Spoon half the sauce over the eggs; top with mushrooms.
,,,Add remaining sauce; sprinkle with cheese.
,,,Broil 4-5 in.
,,,"from heat until top is lightly browned, 4-6 minutes."
,,,Sprinkle with green onion.
195,curried eggs,https://www.food.com/recipe/curried-eggs-482976,"Hard boil the eggs, using your favorite method."
,,,Cool slightly and peel.
,,,Cut them in half lengthwise.
,,,"Melt the butter in a frying pan and saute the onion and garlic, until onion is just soft."
,,,"Stir in the curry powder, tomato paste, water, lemon juice, salt and pepper."
,,,Allow the mixture to cook over a low heat until it is just bubbling.
,,,"Add egg halves to onion mixture and stir gently, until reheated through."
,,,Add a little more water if sauce gets too thick.
,,,Add lemon zest and parsley.
,,,Stir again and serve while hot.
196,fried eggs,https://cookieandkate.com/favorite-fried-eggs-recipe/,"Cooking 1 egg? Pull out a small skillet, preferably cast iron."
,,,Cooking 2 eggs? Use a medium-to-large skillet and use 2 tablespoons of olive oil.
,,,Crack an egg into a small bowl or ramekin and place it near the stove.
,,,Warm your skillet over medium-high heat until it’s hot enough that a drop of water sizzles rapidly on contact.
,,,Reduce the heat to medium and add the olive oil to the pan.
,,,Gently tilt the pan around so the olive oil covers the base of the pan.
,,,"The olive oil should be so warm that it shimmers on the pan (if not, give it a little more time to warm up)."
,,,"Carefully pour the egg into the skillet and watch out for hot oil splatters (if you’re planning to add another egg to the same pan, pour it onto the side so there’s room for another)."
,,,"Let the egg cook, gently tilting the pan occasionally to redistribute the oil, until the edges are crisp and golden and the yolk is cooked to your liking, about 2 minutes for runny yolks or 2 ½ to 3 minutes for medium yolks."
,,,"(If you’re adding another egg to the skillet, go ahead and do it while the other is cooking."
,,,) Transfer the cooked egg(s) to a plate.
,,,"If you’d like to cook more eggs in the same skillet, add another drizzle of olive oil, leave the heat at medium (you might even need to dial it down a bit to avoid smoking) and add your next egg."
,,,Repeat as necessary.
199,matzo brei,https://toriavey.com/toris-kitchen/matzo-brei/,Add eggs to a bowl and scramble with a whisk along with 1 tbsp milk or water until the eggs are nice and fluffy.
,,,Run a sheet of matzo under running hot water for 20-60 seconds until it just begins to soften.
,,,The amount of time you'll need to keep it under the water depends on the type of matzo you're using.
,,,"Let it get soft, but don’t let it turn mushy! Shake off the excess water and reserve the matzo."
,,,Melt a tablespoon of butter in a skillet or frying pan over medium heat.
,,,Break the matzo into small pieces and place them in the skillet.
,,,"Sauté the matzo pieces over medium heat for about a minute, until they are evenly coated with butter."
,,,Crumbled matzo in a buttered skillet.
,,,Pour the scrambled egg mixture over the matzo pieces.
,,,Stir the eggs with a spatula until they are well combined with the matzo.
,,,"Cook the eggs for about 2 minutes over medium, flipping and stirring continuously—don’t let the eggs sit, or they will overcook."
,,,"You want the eggs to be cooked soft- not runny, but just barely cooked."
,,,Overcooked or browned eggs ruin the flavor entirely.
,,,"As you are cooking, sprinkle in salt and pepper to taste."
,,,"This would also be the time to add sugar, if you want a sweeter matzo brei."
,,,"Serve the matzo brei immediately with a small side of applesauce and sour cream, or maple syrup if you like."
206,crab or tuna souffle,https://www.allrecipes.com/recipe/80957/crab-tuna-souffle/,"In a small bowl, stir together the crabmeat and tuna."
,,,Place a layer of bread cubes in the bottom of a 1 1/2 quart casserole dish.
,,,"Cover with a layer of the crab and tuna, then a layer of cheese and a sprinkle of parsley."
,,,Repeat layers 2 more times ending with cheese and parsley on top.
,,,"In a medium bowl, whisk together the eggs, milk, butter, mustard powder and onion."
,,,Pour over the layers in the dish.
,,,"Cover and refrigerate for at least 3 hours, or overnight."
,,,Preheat the oven to 350 degrees F (175 degrees C).
,,,Let the dish come to room temperature while the oven preheats.
,,,"Bake uncovered for 1 hour and 15 minutes in the preheated oven, or until puffed and golden."
223,poached cherries,https://www.finecooking.com/recipe/poached-cherries,"In a saucepan, bring the water, sugar, citrus zest, vanilla bean, and peppercorns to a boil, stirring to dissolve the sugar."
,,,"Add the cherries and simmer until they’re soft but not falling apart, about 10 minutes."
,,,Skim any foam from the surface.
,,,Let cool and then refrigerate.
,,,Strain the poaching liquid before serving.
224,winter fruit salad,https://natashaskitchen.com/winter-fruit-salad-recipe/,"In a large mixing bowl combine all of the prepared fruit – 5 segmented clementines, 2 sliced pears, 2 sliced apples, pomegranate seeds, and 4 sliced kiwis."
,,,"In a measuring cup, stir together 3 Tbsp honey, 2 Tbsp lemon juice and 2 Tbsp lime juice, until honey is dissolved."
,,,"If your citrus was cold and honey is not dissolving, warm it for 10 seconds in the microwave to dissolve easier."
,,,Drizzle dressing over salad and toss gently to combine.
,,,Serve right away or cover with plastic wrap and refrigerate up to 6 hours.
228,grapes and sausages,https://www.foodnetwork.com/recipes/roasted-sausages-and-grapes-recipe-1924696,Preheat the oven to 500 degrees.
,,,Parboil the sausages in water to cover for 8 minutes to rid them of excess fat.
,,,"Melt the butter in a large heatproof roasting pan, add the grapes, and toss to coat."
,,,Over moderately high heat add the wine.
,,,Stir with a wooden spoon for a few minutes until the wine has reduced by half.
,,,"Using tongs, transfer the parboiled sausages to the roasting pan and push them down in the grapes so the sausages will not brown too quickly."
,,,"Roast in the oven, turning the sausages once, until the grapes are soft and the sausages have browned, 20 to 25 minutes."
,,,Place the roasting pan on top of the stove over a medium-high heat and add the balsamic vinegar.
,,,"Scrape up any browned bits on the bottom of the roasting pan, and allow the vinegar and juices to reduce until they are thick and syrupy."
,,,"With a slotted spoon, transfer the sausages and grapes to a serving platter."
,,,"Pour the sauce over the sausages and grapes and serve immediately, accompanied with fresh bread."
248,artichoke hearts,https://www.crunchycreamysweet.com/baked-artichoke-hearts-recipe/,Preheat oven to 400 degrees Line a baking sheet with parchment paper.
,,,Set aside.
,,,Place artichoke hearts in a bowl and pat dry with paper towel.
,,,"In a small bowl, combine melted butter and garlic powder."
,,,"In another small bowl, combine Parmesan cheese and breadcrumbs."
,,,"Dip each artichoke heart quarter in butter first, then breadcrumbs."
,,,Place on prepared baking sheet.
,,,Repeat with all artichokes.
,,,Bake artichokes for 18 minutes or until golden brown.
,,,Turn once half way through baking.
,,,Let cool to room temperature.
,,,Place on serving dish.
,,,Serve.
263,cabbage,https://www.wellplated.com/sauteed-cabbage/,Cut the cabbage in half from its top down through its core.
,,,"Place the cut-side down on your cutting board, then slice it as thinly as possible around the core so that you have fine ribbons."
,,,Discard the core.
,,,Heat a large saute pan or similar heavy-bottomed pot over medium-high heat.
,,,Add olive oil and butter.
,,,"Once the butter is melted, add the cabbage, salt, and pepper."
,,,"Saute for 10 to 15 minutes, stirring occasionally, until the cabbage is tender and begins to brown."
,,,Don't feel like you need to constantly stir it.
,,,Leaving cabbage undisturbed for a minute or two as you go is what will allow it to develop brown caramelized bits (aka FLAVOR).
,,,Remove from the heat and stir in the apple cider vinegar.
,,,"Taste and add a bit of additional salt and pepper if you like, or a splash more vinegar if you'd like to add more zippy and acidic flavors."
,,,Sprinkle with thyme.
,,,Serve warm.
264,braised red cabbage,https://www.spendwithpennies.com/braised-red-cabbage/,Combine all ingredients in a large saucepan.
,,,"Bring to a boil, reduce heat to a low simmer and cover."
,,,Cook covered for 90 minutes stirring occasionally.
,,,Add more water if needed.
,,,Season to taste with salt and pepper and serve warm.
267,roasted carrots,https://www.foodnetwork.com/recipes/ina-garten/roasted-carrots-recipe-1940444,Preheat the oven to 400 degrees F.
,,,"If the carrots are thick, cut them in half lengthwise; if not, leave whole."
,,,Slice the carrots diagonally in 1 1/2-inch-thick slices.
,,,(The carrots will shrink while cooking so make the slices big.)
,,,"Toss them in a bowl with the olive oil, salt, and pepper."
,,,"Transfer to a sheet pan in 1 layer and roast in the oven for 20 minutes, until browned and tender."
,,,"Toss the carrots with minced dill or parsley, season to taste, and serve."
269,baked celery root,https://www.foodnetwork.com/recipes/food-network-kitchen/roasted-celery-root-with-cumin-and-parsley-3362623,Adjust an oven rack to the middle position and put a baking sheet inside.
,,,Preheat the oven to 425 degrees F.
,,,Lightly chop the cumin seeds and add to a medium bowl.
,,,"Trim the ends off the celery root, then peel and discard the exterior."
,,,Cut the root into 3/4-inch-thick planks and then into 3/4-inch cubes.
,,,"Toss the cubes in the bowl with the cumin seeds, olive oil, 1 teaspoon salt and a few grinds of black pepper."
,,,Halve the red onion and thinly slice.
,,,Remove the hot baking sheet from the oven and spread the cubes in an even layer.
,,,Add the onion slices to the bowl the celery root was in and coat with the residual oil and seasonings.
,,,Arrange the onions on top of the celery root and put back into the oven to roast.
,,,"(If the onions are in contact with the pan for the entire cooking time, they could get too dark or burn.)"
,,,"When the cubes begin to brown on the bottom, about 15 minutes, toss the vegetables around, scattering the onions around the pan and flatten again into one layer."
,,,"Continue to roast until the vegetables are very soft when pierced with a knife, about 10 minutes more."
,,,Remove from the oven and allow to cool for a few minutes before tossing with the parsley leaves and a drizzle of olive oil.
275,eggplant relish (caponata),https://www.simplyrecipes.com/recipes/caponata_eggplant_relish/,"Toss eggplant with salt, let drain: Toss the diced eggplant with about 2 tablespoons salt and put into a large bowl."
,,,Cover the bowl with a plate that just about fits the bowl and weigh it down with a heavy can.
,,,Let this sit for 1 hour.
,,,"Drain the eggplant, rinse with fresh water and pat dry with paper towels."
,,,"Cook onions, celery, garlic: Heat 2 tablespoons oil in a large skillet over medium-high heat."
,,,"Add onion and celery, season with salt."
,,,"Cook, stirring occasionally until the onion begins to soften - about 5 minutes."
,,,Add the garlic.
,,,Cook 1-2 minutes more.
,,,Remove from the skillet and set aside.
,,,"Sear the eggplant: Wipe the pan with a paper towel, turn the heat to high and add the remaining olive oil."
,,,Let this heat until the oil is nearly smoking.
,,,Add the eggplant and spread it out in as thin a layer as you can in the skillet.
,,,"Let this sizzle for 1-2 minutes before stirring, then let it sit for a full minute before stirring again."
,,,Cook like this for 5-6 minutes.
,,,"Combine with other ingredients: Add the onion-celery mixture, the tomatoes, olives, pine nuts, capers and red pepper flakes."
,,,Stir well.
,,,"Add the vinegar, sugar and tomato paste and stir once more."
,,,"Cook, stirring occasionally until eggplant is very soft, about 8 minutes."
,,,"Let cool, add basil, salt, pepper: Remove from heat and let cool to room temperature."
,,,Mix in the basil.
,,,Season with salt and pepper to taste.
,,,"Caponata can be refrigerated, covered, up to 5 days."
277,roasted garlic,https://www.simplyrecipes.com/recipes/roasted_garlic/,Preheat your oven to 400°F (205° C).
,,,(A toaster oven works great for this.)
,,,"Peel and discard the papery outer layers of the whole garlic bulb, leaving intact the skins of the individual cloves of garlic."
,,,"Using a sharp knife, cut 1/4 to a 1/2 inch from the top of cloves, exposing the individual cloves of garlic."
,,,"Put garlic in baking pan or muffin tin: Place the garlic heads in a baking pan, cut side up."
,,,"(A muffin pan works great for this, as it keeps the garlic bulbs from rolling around.)"
,,,"Drizzle with olive oil: Drizzle a couple teaspoons of olive oil over each exposed head, using your fingers to rub the olive oil over all the cut, exposed garlic cloves."
,,,Cover the bulb with aluminum foil.
,,,"Bake at 400°F (205°C) for 30-40 minutes, or until the cloves are lightly browned and feel soft when pressed."
,,,Cool and remove roasted garlic cloves from their skins: Allow the garlic to cool enough so you can touch it without burning yourself.
,,,Use a small small knife cut the skin slightly around each clove.
,,,Use a cocktail fork or your fingers to pull or squeeze the roasted garlic cloves out of their skins.
,,,Eat as is (I love straight roasted garlic) or mash with a fork and use for cooking.
,,,"Can be spread over warm French bread, mixed with sour cream for a topping for baked potatoes, or mixed in with Parmesan and pasta."
279,sauteed milkweed pods,http://www.theheartofnewengland.com/food/veg/milkweed-pods-sauteed.html,Trim the stems from the pods.
,,,"Season the flour with salt, pepper and cayenne, if using."
,,,"Heat a sauté pan over medium-high heat, and then film the bottom with oil."
,,,"Dredge the pods in the seasoned flour, then sauté with the garlic until pods are bright green and tender, approximately five minutes."
,,,"Serve immediately, adding salt and pepper to taste and a squeeze of lemon juice."
284,deep-fried mushrooms,https://www.dinneratthezoo.com/fried-mushrooms-recipe/,Heat 3 inches of oil in a deep pot to 375 degrees F.
,,,"Coat the mushrooms in 1/2 cup flour, shaking off any excess."
,,,"In a medium bowl, mix together the remaining cup of flour, beer, salt, pepper, garlic powder and onion powder."
,,,"Coat each mushroom in batter, letting the excess batter drip back into the bowl."
,,,"Fry 4-5 mushrooms at a time until golden brown, about 7 minutes."
,,,Repeat the process with the remaining mushrooms.
,,,"Sprinkle with parsley, then serve immediately."
298,potatoes anna (pommes anna),https://www.bettycrocker.com/recipes/potatoes-anna/3907ec7c-3947-43ed-a0ad-f24ae1249ab8,Heat oven to 425°F.
,,,Place potatoes in large bowl of cold water.
,,,Grease bottom and sides of 10-inch nonstick ovenproof skillet with 1 tablespoon of the butter.
,,,Spray 12x12-inch piece of foil with cooking spray.
,,,"In 1-quart saucepan, heat remaining 4 tablespoons butter, the thyme and garlic over medium heat 1 to 2 minutes, stirring constantly until butter is melted but garlic has not browned."
,,,Remove from heat; set aside.
,,,"In custard cup, combine salt and pepper."
,,,Drain potato slices; pat dry between paper towels.
,,,"Starting in center of pan, arrange 1/4 of potato slices, slightly overlapping in circular pattern, covering bottom of pan."
,,,Brush with 1/4 of butter mixture; sprinkle with 1/4 teaspoon of the salt mixture.
,,,Sprinkle with 2 tablespoons of the Parmesan cheese.
,,,"Repeat layers two more times, ending with cheese."
,,,"Top with one more layer of potatoes, brush with remaining butter and sprinkle with remaining salt mixture."
,,,Press top of potatoes firmly with metal spatula.
,,,"Cook uncovered over medium-high heat 5 minutes, gently shaking pan occasionally to prevent potatoes from sticking."
,,,"Cover with foil, sprayed side down."
,,,Bake 15 minutes.
,,,Remove foil; bake an additional 20 to 25 minutes or until potatoes are tender and golden brown.
,,,Remove from oven.
,,,Run small spatula around edge of potatoes; gently shake pan to loosen potatoes from bottom of pan.
,,,"Carefully invert potatoes onto serving plate To serve, cut into wedges."
300,shoestring potatoes,https://www.thecookierookie.com/shoestring-fries/,"Place oil in a large, deep, pan, Dutch oven or deep-fryer."
,,,Attach a deep-fry thermometer to monitor the temperature and heat oil to 350F.
,,,"While oil is heating, wash and peel potatoes and remove any dark spots."
,,,Using a mandoline slicer fitted with the julienne blade and slice potatoes into matchsticks.
,,,Place sliced potatoes in a large bowl of ice water for 10 minutes.
,,,Remove potatoes from water bath and place on paper towels or clean dish cloths to dry completely.
,,,"Pat the potatoes dry or use a salad spinner, if available."
,,,"The dryer the potatoes, the less excess splattering there will be."
,,,The next step is crucial to not having a disaster (or fire) in your kitchen.
,,,Do NOT add too many potatoes at one time.
,,,"Once oil is 350F, place dried potatoes (1-cup at a time) in the oil and stir to separate them."
,,,Adjust temperature to keep it as close to 350F as possible.
,,,Fry 2½ – 3½ minutes or until dark golden brown – watch closely and stir often.
,,,Transfer cooked potatoes with a slotted spoon to a paper-towel covered surface and season with salt and black pepper.
,,,"If desired, add other spices or seasonings at this time."
,,,Repeat process until all potatoes are fried.
,,,"Allow potatoes to cool completely, then store in an airtight container."
,,,The potatoes will stay crispy and crunchy at least 3 days and probably more.
,,,"Serve as is or with a side of sweet, hot mustard, bbq sauce or dip of your choice."
,,,Enjoy!
313,scalloped tomatoes,https://www.foodnetwork.com/recipes/ina-garten/scalloped-tomatoes-recipe-1948998,Preheat the oven to 350 degrees F.
,,,Heat 3 tablespoons of olive oil in a large (12 inch) saute pan over medium heat.
,,,Add the bread cubes and stir to coat with the oil.
,,,"Cook over medium to medium-high heat for 5 minutes, stirring often, until the cubes are evenly browned."
,,,"Meanwhile, combine the tomatoes, garlic, sugar, salt, and pepper in a large bowl."
,,,"When the bread cubes are done, add the tomato mixture and continue to cook, stirring often, for 5 minutes."
,,,"Off the heat, stir in the basil."
,,,Pour the tomato mixture into a shallow (6 to 8 cup) baking dish.
,,,Sprinkle evenly with the Parmesan cheese and drizzle with 2 tablespoons of olive oil.
,,,Bake for 35 to 40 minutes until the top is browned and the tomatoes are bubbly.
,,,Serve hot or warm.
341,vareniki,https://momsdish.com/recipe/78/vareniki-recipe,"Mix sugar, farmers cheese and egg, until it's fully mixed in."
,,,Set it aside.
,,,"Whisk eggs together with sour cream, lukewarm water and milk until you get an even texture."
,,,"To the liquid ingredients, add in flour, sugar and salt."
,,,Knead the dough by hand or a stand-up mixer until it's no longer sticky.
,,,Roll out the dough on a well floured surface.
,,,"Using a cup, stamp out circles."
,,,Flour the cup to make it easier to cut circles.
,,,"One by one fill your circles with filling, placing the filling in the center."
,,,"Fold over the edges and tighten them up with your fingers, making sure it's firm enough for your filling not to fall out."
,,,Bring a pot of water up to boil.
,,,"Add 10-20 pierogi, cook until they float up to the top."
,,,Drain and top with melted unsalted butter.
,,,"Optionally, serve with sour cream, jam or sugar."
,,,"Tip: If freezing the pierogi, use a floured cooking sheet or cutting board."
,,,"Once the pierogi are fully frozen, move them to a ziplock bag."
350,low country cream-style grits,https://www.southernliving.com/recipes/lowcountry-shrimp-and-grits,Grits: Bring 4 1/2 cups of water to a boil in a large saucepan over high heat.
,,,"Whisk in the grits and salt, reduce heat to low, and cook at a gently simmer for 35 to 40 minutes or until the grits are thick, stirring occasionally."
,,,Stir more often as the grits thicken.
,,,"Remove the pan from the heat, add the cheddar, parmesan, butter, pepper, and Tabasco, and stir until smooth."
,,,Taste and adjust the seasoning.
,,,Keep warm over very low heat.
,,,"Shrimp: In a medium skillet over medium-high heat, cook the bacon for 6 minutes or until crisp, stirring occasionally."
,,,Transfer with a slotted spoon to drain on paper towels and leave the fat in the skillet.
,,,"If there is less than 1 1/2 tablespoons of bacon fat, make up the difference with peanut oil."
,,,"Toss the shrimp with the flour until lightly coated, shaking off any excess."
,,,"In the skillet with the reserved fat, cook the shrimp over medium-high heat for 1 minute or until they begin to turn pink."
,,,Add the mushrooms and bacon and cook for 1 minute.
,,,"Add the garlic and cook, stirring, for 30 seconds (do not let the garlic brown)."
,,,"Stir in the hot sauce, lemon juice, and scallions and remove from the heat."
,,,Divide the grits among 4 shallow bowls and top with the shrimp mixture.
,,,Garnish with additional scallions and serve at once.
357,fried rice,https://www.gimmesomeoven.com/fried-rice-recipe/,Heat 1/2 tablespoon of butter in a large sauté pan* over medium-high heat until melted.
,,,"Add egg, and cook until scrambled, stirring occasionally."
,,,"Remove egg, and transfer to a separate plate."
,,,Add an additional 1 tablespoon butter to the pan and heat until melted.
,,,"Add carrots, onion, peas and garlic, and season with a generous pinch of salt and pepper."
,,,Sauté for about 5 minutes or until the onion and carrots are soft.
,,,"Increase heat to high, add in the remaining 1 1/2 tablespoons of butter, and stir until melted."
,,,"Immediately add the rice, green onions, soy sauce and oyster sauce (if using), and stir until combined."
,,,"Continue sautéing for an additional 3 minutes to fry the rice, stirring occasionally."
,,,(I like to let the rice rest for a bit between stirs so that it can crisp up on the bottom.)
,,,Then add in the eggs and stir to combine.
,,,"Remove from heat, and stir in the sesame oil until combined."
,,,"Taste and season with extra soy sauce, if needed."
,,,"Serve immediately, or refrigerate in a sealed container for up to 3 days."
385,lobster newburg,https://www.allrecipes.com/recipe/57042/lobster-newburg/,"In a small bowl, whisk together egg yolks and heavy cream until well blended."
,,,Set aside.
,,,Melt butter in a saucepan over low heat.
,,,Stir in the egg yolk mixture and sherry.
,,,"Cook, stirring constantly until the mixture thickens."
,,,Do not boil.
,,,"Remove from heat, and season with salt, cayenne, and nutmeg."
,,,Add lobster.
,,,"Return pan to low heat, and cook gently until heated through."
,,,Serve hot over slices of buttered toast.
404,broiled fish fillets with herbs,https://www.thespruceeats.com/herb-baked-fish-recipe-3058408,Heat the oven to 450 F.
,,,Grease a shallow baking dish big enough to place the fish in a single layer.
,,,Place the fish fillets in the prepared baking dish.
,,,"In a skillet or saute pan over medium-low heat, cook the onion and garlic in 2 tablespoons of butter until tender."
,,,Stir in the thyme and tarragon and cook for 1 minute longer.
,,,Spread the herb and butter mixture over the fish fillets.
,,,"In a small bowl, combine the crushed corn flakes with the melted butter and parsley."
,,,Top with the seasoned cornflake crumbs and sprinkle with kosher salt and freshly ground black pepper.
,,,"Bake in the preheated oven for 12 to 15 minutes, or until fish flakes easily with a fork."
,,,Very thin fillets might take less time to check the center of the fish with a fork—flakes should separate freely.
,,,Serve the fish with lemon wedges.
404,broiled fish fillets with seasoned bread crumbs,https://www.thespruceeats.com/baked-fish-fillets-with-seasoned-crumb-topping-3057298,Gather the ingredients.
,,,Preheat the oven to 400 F.
,,,Wipe the fish fillets with a damp cloth.
,,,Sprinkle both sides of the fish with kosher salt and freshly ground black pepper.
,,,Place the fish fillets in a shallow greased baking pan or on a greased broiler rack.
,,,Mix bread crumbs with 2 tablespoons of the butter and the dried thyme.
,,,"Sprinkle the mixture over the fish, coating as best you can."
,,,Then drizzle the remaining butter over the breaded fish.
,,,"Bake the fish in the preheated oven for 15 to 25 minutes, or until fish is flaky and the bread crumb topping has browned lightly."
,,,The time depends on the thickness of the fish.
,,,Baking time can vary greatly.
,,,"Check very thin fillets, such as sole and flounder, after about 12 minutes."
,,,"If the crumbs have not browned, broil the fillets for a minute or two, just until golden brown."
,,,Serve the fish fillets immediately with lemon wedges and garnish with parsley.
,,,Enjoy!
407,panfried whole fish,https://thewoksoflife.com/pan-fried-fish/,"Clean the fish, removing all scales, making sure to pay attention to scales on the belly, the head, and near the fins."
,,,"Even if you have it cleaned at your fish market, fish mongers always tend to miss some scales."
,,,Make sure you clean out the inside of the fish as well.
,,,Let the fish drain in a colander and pat both sides dry with a paper towel.
,,,Transfer to a plate.
,,,Sprinkle salt on both sides of both fish--use about 1/4 teaspoon in total.
,,,Set aside for 15 minutes.
